firstname,middleInitial,lastname,username,password,telephone,ou
Rick,M,Sanchez,Rick,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
John,A,Sanchez,John,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
William,F,Sanchez,William,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
James,R,Sanchez,James,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Charles,G,Sanchez,Charles,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
George,Y,Sanchez,George,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Frank,F,Sanchez,Frank,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Joseph,E,Sanchez,Joseph,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Thomas,B,Sanchez,Thomas,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Henry,D,Sanchez,Henry,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Robert,E,Sanchez,Robert,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Edward,H,Sanchez,Edward,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Harry,U,Sanchez,Harry,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Walter,F,Sanchez,Walter,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Arthur,C,Sanchez,Arthur,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Fred,D,Sanchez,Fred,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Albert,G,Sanchez,Albert,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Samuel,H,Sanchez,Samuel,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
David,F,Sanchez,David,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Louis,T,Sanchez,Louis,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Joe,H,Sanchez,Joe,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Charlie,G,Sanchez,Charlie,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Clarence,G,Sanchez,Clarence,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Richard,G,Sanchez,Richard,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Andrew,G,Sanchez,Andrew,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Daniel,G,Sanchez,Daniel,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Ernest,G,Sanchez,Ernest,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Will,G,Sanchez,Will,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Jesse,D,Sanchez,Jesse,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
Oscar,D,Sanchez,Oscar,Pa$$w0rd,61234567,"OU=HR,OU=Zara Pte Ltd,DC=frontier,DC=net"
